transaction_date,total_transactions,total_volume,total_commissions,buy_count,sell_count,unique_clients,unique_tickers,total_gain_loss,avg_commission_per_tx
2021-06-15,22,736646.78,7366.47,18,4,16,22,38072.21,334.84
2021-06-16,21,324622.06,3246.24,18,3,20,21,9124.2,154.58
2021-06-17,20,449032.23,4490.32,13,7,15,18,29783.78,224.52
2021-06-18,21,147458.12,1474.57,18,3,17,20,2813.46,70.22
2021-06-19,14,361866.18,3618.65,12,2,11,14,818.73,258.48
2021-06-20,18,286111.6,2861.09,15,3,14,18,16058.83,158.95
2021-06-21,16,388287.29,3882.87,12,4,14,15,9260.92,242.68
2021-06-22,17,540257.55,5402.56,17,0,14,17,0.0,317.8
2021-06-23,14,329711.18,3297.11,14,0,10,14,0.0,235.51
2021-06-24,22,415818.03,4158.19,17,5,20,21,9207.8,189.01
2021-06-25,19,213884.57,2138.86,14,5,18,17,2327.4,112.57
2021-06-26,17,511985.78,5119.87,15,2,10,16,7968.68,301.17
2021-06-27,23,534413.19,5344.13,21,2,19,21,8976.23,232.35
2021-06-28,21,668048.42,6680.51,18,3,19,20,-542.7,318.12
2021-06-29,22,576066.17,5760.65,16,6,19,19,23094.03,261.85
2021-06-30,34,725584.3,7255.82,30,4,27,29,11484.11,213.41
2021-07-01,15,291763.62,2917.63,14,1,14,14,15351.2,194.51
2021-07-02,26,510884.51,5108.88,22,4,21,24,422.21,196.5
2021-07-03,27,840920.94,8409.21,22,5,23,26,21781.47,311.45
2021-07-04,20,570108.25,5701.11,16,4,19,18,1532.29,285.06
2021-07-05,18,335880.25,3358.81,17,1,18,18,-4234.77,186.6
2021-07-06,30,515883.17,5158.83,23,7,25,26,17732.86,171.96
2021-07-07,23,581726.68,5817.28,18,5,20,23,7816.67,252.93
2021-07-08,20,843227.42,8432.28,18,2,14,17,27102.96,421.61
2021-07-09,23,536068.17,5360.68,16,7,18,23,5451.28,233.07
2021-07-10,26,451716.3,4517.15,21,5,21,26,11724.7,173.74
2021-07-11,29,803772.42,8037.74,20,9,20,27,-5464.47,277.16
2021-07-12,27,542769.05,5427.68,22,5,22,27,9041.4,201.03
2021-07-13,29,619998.76,6199.97,26,3,25,27,41439.76,213.79
2021-07-14,21,377244.43,3772.43,19,2,18,21,4064.13,179.64
2021-07-15,30,729813.25,7298.13,22,8,22,28,36979.11,243.27
2021-07-16,36,725418.4,7254.19,29,7,27,33,15631.68,201.51
2021-07-17,34,705481.93,7054.8,28,6,28,30,5898.29,207.49
2021-07-18,26,664717.55,6647.15,22,4,23,25,27132.6,255.66
2021-07-19,30,704702.66,7047.05,26,4,26,26,1695.15,234.9
2021-07-20,34,791725.33,7917.26,27,7,26,31,18846.41,232.86
2021-07-21,38,871611.9,8716.12,33,5,29,34,11459.62,229.37
2021-07-22,42,1039782.46,10397.81,35,7,33,36,-6334.27,247.57
2021-07-23,29,747186.29,7471.85,23,6,27,28,-4851.03,257.65
2021-07-24,33,694307.12,6943.1,29,4,29,32,1921.91,210.4
2021-07-25,28,576039.68,5760.42,23,5,21,24,38007.94,205.73
2021-07-26,38,785630.23,7856.32,32,6,32,35,24886.11,206.75
2021-07-27,34,599146.47,5991.45,30,4,26,30,15435.68,176.22
2021-07-28,38,915765.3,9157.68,33,5,31,37,-371.65,240.99
2021-07-29,29,773128.03,7731.28,25,4,24,26,27002.58,266.6
2021-07-30,30,616753.14,6167.54,22,8,26,26,15381.05,205.58
2021-07-31,26,812221.11,8122.21,18,8,22,24,353.74,312.39
2021-08-01,25,394146.49,3941.48,23,2,23,25,14109.89,157.66
2021-08-02,25,630474.31,6304.77,21,4,20,22,6226.12,252.19
2021-08-03,37,777466.52,7774.66,25,12,31,36,31970.66,210.13
2021-08-04,33,666919.17,6669.18,27,6,32,31,23665.39,202.1
2021-08-05,32,736035.35,7360.34,26,6,25,31,5060.37,230.01
2021-08-06,39,784339.55,7843.42,31,8,30,33,19359.02,201.11
2021-08-07,23,450711.25,4507.1,21,2,20,23,-144.63,195.96
2021-08-08,33,914593.4,9145.93,27,6,24,32,-6956.92,277.15
2021-08-09,30,822884.6,8228.85,18,12,25,29,5880.57,274.3
2021-08-10,39,845382.45,8453.82,30,9,32,38,33997.46,216.76
2021-08-11,23,502554.17,5025.52,19,4,20,22,1792.03,218.5
2021-08-12,26,867197.63,8671.96,19,7,24,24,28410.78,333.54
2021-08-13,29,420634.02,4206.32,23,6,27,28,16369.81,145.05
2021-08-14,28,796426.0,7964.27,25,3,24,27,44477.49,284.44
2021-08-15,34,496603.7,4966.03,30,4,32,31,4158.07,146.06
2021-08-16,32,587144.96,5871.42,24,8,28,28,18245.29,183.48
2021-08-17,29,455955.4,4559.54,21,8,27,27,31681.37,157.23
2021-08-18,37,845310.33,8453.1,27,10,28,36,14229.19,228.46
2021-08-19,31,428151.8,4281.51,23,8,29,29,12483.58,138.11
2021-08-20,42,769395.35,7693.95,36,6,36,41,34500.06,183.19
2021-08-21,44,760621.99,7606.25,30,14,32,42,34968.15,172.87
2021-08-22,47,931269.79,9312.7,39,8,36,43,10690.51,198.14
2021-08-23,42,723406.69,7234.06,34,8,35,39,23413.63,172.24
2021-08-24,42,451057.41,4510.59,33,9,38,40,12601.55,107.4
2021-08-25,34,1057073.24,10570.73,26,8,30,32,76.69,310.9
2021-08-26,38,508017.22,5080.16,27,11,30,35,29684.22,133.69
2021-08-27,43,743098.74,7431.03,32,11,38,40,4729.37,172.81
2021-08-28,47,1286190.65,12861.89,34,13,32,40,48172.82,273.66
2021-08-29,45,690243.95,6902.46,33,12,38,42,6411.48,153.39
2021-08-30,48,899028.94,8990.25,37,11,39,42,37433.23,187.3
2021-08-31,37,632454.41,6324.55,32,5,32,37,2277.81,170.93
2021-09-01,35,634754.73,6347.55,28,7,31,33,20087.48,181.36
2021-09-02,38,553364.84,5533.65,25,13,27,35,5621.14,145.62
2021-09-03,33,601245.51,6012.44,28,5,30,31,6298.5,182.2
2021-09-04,38,656921.3,6569.23,33,5,36,35,16746.9,172.87
2021-09-05,24,226816.75,2268.15,17,7,21,22,12699.21,94.51
2021-09-06,39,605553.77,6055.53,30,9,34,37,6933.45,155.27
2021-09-07,43,826129.27,8261.33,33,10,34,39,39427.56,192.12
2021-09-08,37,1015506.18,10155.07,27,10,32,33,49384.87,274.46
2021-09-09,47,1048268.59,10482.7,37,10,38,41,9164.62,223.04
2021-09-10,48,929428.88,9294.32,38,10,40,40,15818.55,193.63
2021-09-11,47,702703.03,7027.04,42,5,34,41,10271.73,149.51
2021-09-12,43,1016805.33,10168.06,37,6,36,39,25183.26,236.47
2021-09-13,38,435571.62,4355.69,35,3,35,33,14914.48,114.62
2021-09-14,44,844938.88,8449.4,37,7,38,42,17086.48,192.03
2021-09-15,54,928055.17,9280.55,40,14,47,47,40860.57,171.86
2021-09-16,41,751872.5,7518.73,33,8,35,37,8609.65,183.38
2021-09-17,44,679467.27,6794.66,34,10,41,40,24433.26,154.42
2021-09-18,43,428722.98,4287.22,30,13,37,41,7045.93,99.7
2021-09-19,36,451389.16,4513.91,26,10,30,35,4985.65,125.39
2021-09-20,41,782371.95,7823.7,30,11,34,38,2715.36,190.82
2021-09-21,53,1093815.96,10938.15,43,10,37,46,52067.22,206.38
2021-09-22,43,896776.78,8967.76,32,11,38,38,38952.38,208.55
2021-09-23,38,815726.65,8157.25,31,7,33,35,-2133.78,214.66
2021-09-24,47,1115145.15,11151.45,36,11,38,41,38006.75,237.26
2021-09-25,41,757166.65,7571.68,31,10,35,41,45303.1,184.68
2021-09-26,57,1227186.5,12271.88,43,14,48,49,32888.63,215.3
2021-09-27,53,1117333.87,11173.34,43,10,42,47,16409.24,210.82
2021-09-28,51,943798.0,9438.02,35,16,45,43,9890.8,185.06
2021-09-29,41,763795.05,7637.93,31,10,36,39,27798.74,186.29
2021-09-30,57,1049283.74,10492.86,41,16,48,52,24120.0,184.09
2021-10-01,59,1303653.86,13036.53,49,10,45,51,13941.73,220.96
2021-10-02,55,920401.62,9204.0,40,15,44,47,35942.5,167.35
2021-10-03,45,724074.79,7240.71,36,9,41,42,2614.16,160.9
2021-10-04,73,1341486.12,13414.84,54,19,51,63,44330.92,183.76
2021-10-05,61,906740.77,9067.42,48,13,49,56,28591.8,148.65
2021-10-06,58,1406679.78,14066.81,39,19,42,46,32000.46,242.53
2021-10-07,43,780313.81,7803.12,29,14,37,39,8916.1,181.47
2021-10-08,55,961430.34,9614.29,38,17,48,49,16115.6,174.81
2021-10-09,63,1600494.95,16004.94,52,11,49,55,8674.28,254.05
2021-10-10,51,766610.84,7666.07,40,11,42,47,5231.91,150.32
2021-10-11,45,829149.18,8291.48,31,14,40,41,60151.5,184.26
2021-10-12,55,877263.6,8772.62,39,16,44,48,23585.07,159.5
2021-10-13,56,1312926.11,13129.28,39,17,48,50,46955.46,234.45
2021-10-14,53,958440.3,9584.41,36,17,44,50,9222.06,180.84
2021-10-15,57,788117.19,7881.2,48,9,48,48,5560.81,138.27
2021-10-16,49,969792.32,9697.95,39,10,41,45,33683.11,197.92
2021-10-17,51,873789.87,8737.95,38,13,45,47,31382.96,171.33
2021-10-18,42,1019415.43,10194.15,32,10,34,40,21742.07,242.72
2021-10-19,50,681406.74,6814.05,38,12,41,44,31880.26,136.28
2021-10-20,52,940721.57,9407.2,39,13,44,49,12249.87,180.91
2021-10-21,55,1207405.76,12074.06,40,15,45,47,76470.98,219.53
2021-10-22,55,1273666.94,12736.71,40,15,44,49,85487.64,231.58
2021-10-23,67,1559616.48,15596.14,52,15,49,61,-18247.44,232.78
2021-10-24,75,1968317.79,19683.22,58,17,55,62,40692.1,262.44
2021-10-25,48,824535.36,8245.34,34,14,39,46,18926.58,171.78
2021-10-26,50,1064824.76,10648.24,41,9,40,45,14769.84,212.96
2021-10-27,45,793496.55,7934.99,36,9,38,39,19941.82,176.33
2021-10-28,58,1009101.1,10091.06,46,12,45,49,52577.32,173.98
2021-10-29,58,998962.77,9989.64,42,16,51,54,82183.93,172.24
2021-10-30,60,1157834.7,11578.35,45,15,50,54,39773.73,192.97
2021-10-31,45,934739.8,9347.39,32,13,35,43,56493.28,207.72
2021-11-01,47,930651.71,9306.53,31,16,44,45,18537.28,198.01
2021-11-02,45,1311954.66,13119.53,37,8,37,42,-508.93,291.55
2021-11-03,78,1793476.78,17934.78,52,26,58,63,11119.72,229.93
2021-11-04,50,978232.23,9782.32,38,12,42,47,38797.81,195.65
2021-11-05,48,1021922.46,10219.22,37,11,35,42,10810.69,212.9
2021-11-06,68,1189444.59,11894.48,48,20,54,60,27742.86,174.92
2021-11-07,56,969455.06,9694.56,39,17,49,50,12401.94,173.12
2021-11-08,63,1152552.54,11525.52,49,14,51,59,12591.83,182.94
2021-11-09,44,683569.04,6835.68,33,11,38,38,33112.39,155.36
2021-11-10,50,932272.74,9322.73,36,14,45,46,331.28,186.45
2021-11-11,46,956679.61,9566.82,35,11,41,44,20024.43,207.97
2021-11-12,49,923794.17,9237.96,34,15,39,45,36430.09,188.53
2021-11-13,57,1586206.16,15862.04,40,17,50,49,54720.38,278.28
2021-11-14,52,497326.86,4973.27,44,8,49,46,5734.01,95.64
2021-11-15,52,689589.2,6895.88,39,13,42,47,17384.19,132.61
2021-11-16,50,832740.78,8327.35,38,12,42,46,1703.43,166.55
2021-11-17,50,917211.28,9172.09,35,15,44,46,22574.9,183.44
2021-11-18,54,1019097.99,10190.98,39,15,43,46,38182.51,188.72
2021-11-19,59,1251091.66,12510.89,43,16,47,56,5105.37,212.05
2021-11-20,55,1306293.13,13062.9,31,24,47,52,41192.43,237.51
2021-11-21,50,1135779.46,11357.81,31,19,40,44,14710.66,227.16
2021-11-22,68,1099684.08,10996.85,50,18,56,56,10901.67,161.72
2021-11-23,46,896543.85,8965.47,33,13,41,42,18932.04,194.9
2021-11-24,62,1455865.27,14558.67,51,11,52,56,20246.79,234.82
2021-11-25,60,1240888.06,12408.9,44,16,57,55,1604.91,206.82
2021-11-26,59,1330690.45,13306.93,45,14,52,53,35373.88,225.54
2021-11-27,52,613071.25,6130.7,37,15,44,49,11784.05,117.9
2021-11-28,59,1207092.66,12070.88,46,13,50,52,44948.2,204.59
2021-11-29,53,648987.05,6489.89,31,22,41,48,30175.92,122.45
2021-11-30,66,1081625.58,10816.25,47,19,57,59,24703.41,163.88
2021-12-01,65,1477443.96,14774.45,50,15,56,59,46460.65,227.3
2021-12-02,63,1211215.29,12112.19,48,15,54,56,19586.25,192.26
2021-12-03,59,1277741.65,12777.43,40,19,52,56,60437.39,216.57
2021-12-04,72,1362667.85,13626.68,49,23,55,63,34200.18,189.26
2021-12-05,74,1271356.9,12713.55,60,14,60,62,3887.49,171.8
2021-12-06,77,1623104.61,16231.06,51,26,64,66,85278.67,210.79
2021-12-07,80,2261196.02,22611.96,58,22,64,70,122977.18,282.65
2021-12-08,63,1364780.58,13647.81,44,19,54,59,28835.99,216.63
2021-12-09,59,1006577.2,10065.75,45,14,49,51,44866.45,170.61
2021-12-10,72,1041876.1,10418.76,53,19,60,68,26134.54,144.71
2021-12-11,64,1125697.86,11256.96,44,20,52,56,50818.21,175.89
2021-12-12,58,1533275.48,15332.75,46,12,48,52,47650.26,264.36
2021-12-13,68,1818505.95,18185.07,49,19,54,60,48273.05,267.43
2021-12-14,66,1804304.29,18043.05,46,20,50,58,77793.12,273.38
2021-12-15,56,953039.0,9530.4,44,12,49,47,10908.76,170.19
2021-12-16,81,1225329.96,12253.32,61,20,67,73,52382.97,151.28
2021-12-17,72,1520685.0,15206.86,61,11,62,59,37023.02,211.21
2021-12-18,68,1576696.28,15766.93,47,21,56,64,18060.75,231.87
2021-12-19,61,1046448.83,10464.51,45,16,54,56,39219.51,171.55
2021-12-20,89,1978999.7,19790.04,68,21,70,79,10324.37,222.36
2021-12-21,77,1448798.25,14488.0,52,25,63,66,54332.8,188.16
2021-12-22,63,1009924.71,10099.24,50,13,55,56,26493.21,160.31
2021-12-23,63,2121808.27,21218.08,46,17,51,58,8657.86,336.79
2021-12-24,66,1512904.55,15129.04,50,16,57,60,27042.11,229.23
2021-12-25,65,983516.36,9835.18,46,19,52,57,32351.55,151.31
2021-12-26,55,882594.1,8825.95,36,19,48,51,64764.11,160.47
2021-12-27,62,1440745.01,14407.47,44,18,52,52,13238.04,232.38
2021-12-28,72,1689542.13,16895.43,56,16,58,64,23447.91,234.66
2021-12-29,56,1379991.73,13799.89,41,15,48,49,14692.76,246.43
2021-12-30,64,1536412.21,15364.12,39,25,52,55,53208.2,240.06
2021-12-31,57,1404915.32,14049.13,46,11,44,57,35223.98,246.48
2022-01-01,62,1178942.43,11789.42,46,16,52,56,15388.26,190.15
2022-01-02,73,1965696.58,19656.99,52,21,63,62,65962.12,269.27
2022-01-03,71,1773507.14,17735.12,54,17,60,61,18218.3,249.79
2022-01-04,69,1434692.74,14346.96,46,23,55,60,64757.45,207.93
2022-01-05,74,1495933.65,14959.36,48,26,60,61,45543.28,202.15
2022-01-06,73,1381232.2,13812.3,46,27,59,58,3676.19,189.21
2022-01-07,67,812648.97,8126.52,57,10,56,58,12107.26,121.29
2022-01-08,76,1491702.17,14917.03,55,21,60,68,73191.64,196.28
2022-01-09,73,1773759.26,17737.59,50,23,58,67,59690.7,242.98
2022-01-10,79,1038970.37,10389.74,61,18,70,67,17162.32,131.52
2022-01-11,60,1036038.29,10360.42,44,16,52,55,14890.82,172.67
2022-01-12,83,1959479.17,19594.81,59,24,66,66,133421.76,236.08
2022-01-13,76,1443405.51,14433.99,53,23,67,67,31692.34,189.92
2022-01-14,69,1136580.71,11365.79,49,20,61,57,81353.09,164.72
2022-01-15,65,922598.48,9226.0,45,20,56,54,9041.76,141.94
2022-01-16,79,1612786.13,16127.86,59,20,61,61,21518.33,204.15
2022-01-17,81,1876543.12,18765.43,57,24,67,74,104056.71,231.67
2022-01-18,76,1444024.18,14440.26,51,25,66,67,53819.94,190.0
2022-01-19,68,1164770.61,11647.7,52,16,61,62,39222.51,171.29
2022-01-20,78,1618376.61,16183.72,59,19,62,69,28768.49,207.48
2022-01-21,85,1849108.29,18491.07,66,19,73,72,26083.37,217.54
2022-01-22,67,1146190.92,11461.92,51,16,59,61,22649.01,171.07
2022-01-23,82,1268580.57,12685.8,59,23,65,69,4832.5,154.7
2022-01-24,74,1315829.77,13158.28,52,22,69,64,106419.01,177.81
2022-01-25,64,1111952.48,11119.53,47,17,53,58,31131.33,173.74
2022-01-26,78,1450321.49,14503.21,47,31,61,66,44971.14,185.94
2022-01-27,76,1912725.74,19127.24,58,18,65,69,90642.5,251.67
2022-01-28,77,1117269.96,11172.66,55,22,63,67,43318.97,145.1
2022-01-29,86,950532.13,9505.3,66,20,76,74,37166.1,110.53
2022-01-30,93,2133252.72,21332.54,67,26,74,78,153509.73,229.38
2022-01-31,92,1689909.15,16899.08,68,24,65,76,37959.43,183.69
2022-02-01,57,738100.62,7381.03,35,22,48,54,10731.63,129.49
2022-02-02,91,2198239.97,21982.36,58,33,73,82,73298.62,241.56
2022-02-03,87,1791945.16,17919.49,66,21,76,76,63759.91,205.97
2022-02-04,70,1061982.24,10619.85,52,18,63,59,26572.96,151.71
2022-02-05,73,1805962.51,18059.62,59,14,61,60,31493.6,247.39
2022-02-06,82,1891476.8,18914.77,55,27,65,71,44412.15,230.67
2022-02-07,85,1667691.73,16676.89,58,27,69,66,26751.31,196.2
2022-02-08,76,1881499.88,18814.94,53,23,62,65,82162.52,247.56
2022-02-09,74,957833.67,9578.38,60,14,59,65,33871.05,129.44
2022-02-10,79,1577687.02,15776.85,64,15,66,67,-6188.78,199.71
2022-02-11,90,1634527.19,16345.29,66,24,71,76,28407.98,181.61
2022-02-12,84,1457041.01,14570.37,59,25,68,72,104240.92,173.46
2022-02-13,81,1736691.89,17366.88,55,26,71,65,57910.44,214.41
2022-02-14,86,1709408.7,17094.11,59,27,68,68,85528.6,198.77
2022-02-15,86,1758239.19,17582.36,62,24,68,72,12282.73,204.45
2022-02-16,77,1351553.59,13515.51,58,19,67,69,64016.17,175.53
2022-02-17,78,1728916.25,17289.13,58,20,71,69,64970.82,221.66
2022-02-18,65,1243121.09,12431.2,52,13,58,58,16208.01,191.25
2022-02-19,91,2009334.9,20093.31,60,31,70,78,51800.14,220.81
2022-02-20,86,1821761.64,18217.62,65,21,74,70,48165.12,211.83
2022-02-21,83,1566217.46,15662.16,59,24,72,74,80564.82,188.7
2022-02-22,83,1794139.12,17941.36,54,29,71,75,31039.65,216.16
2022-02-23,82,1958221.8,19582.21,59,23,68,66,18215.82,238.81
2022-02-24,95,2132057.7,21320.59,64,31,77,81,92441.36,224.43
2022-02-25,66,1884125.02,18841.26,44,22,57,59,60359.3,285.47
2022-02-26,90,2289367.96,22893.65,69,21,72,74,36788.95,254.37
2022-02-27,93,1674022.4,16740.19,68,25,71,75,47460.97,180.0
2022-02-28,73,1235186.51,12351.9,51,22,67,64,33660.75,169.2
2022-03-01,86,1845270.22,18452.68,64,22,65,69,39347.52,214.57
2022-03-02,96,2551385.46,25513.85,63,33,74,79,37356.34,265.77
2022-03-03,103,2422239.71,24222.45,77,26,83,86,76828.4,235.17
2022-03-04,97,2218720.21,22187.18,62,35,82,79,59588.28,228.73
2022-03-05,109,2605950.21,26059.47,82,27,89,89,83832.55,239.08
2022-03-06,91,1995976.57,19959.79,61,30,72,75,65661.37,219.34
2022-03-07,85,1686947.79,16869.53,68,17,72,73,39374.48,198.47
2022-03-08,81,1883237.67,18832.41,61,20,69,70,49503.51,232.5
2022-03-09,87,2074702.32,20747.06,70,17,77,82,11511.82,238.47
2022-03-10,85,1579921.59,15799.2,68,17,69,72,38685.3,185.87
2022-03-11,88,1451460.36,14514.59,64,24,70,74,44669.06,164.94
2022-03-12,76,1445157.06,14451.53,57,19,69,68,37191.74,190.15
2022-03-13,91,1529789.51,15297.89,66,25,78,79,80354.06,168.11
2022-03-14,96,2515736.08,25157.38,62,34,79,76,90237.37,262.06
2022-03-15,95,2025061.46,20250.61,67,28,75,85,93076.26,213.16
2022-03-16,92,1594060.11,15940.62,63,29,80,73,52874.91,173.27
2022-03-17,95,2455920.6,24559.23,68,27,77,78,66533.49,258.52
2022-03-18,90,1909643.29,19096.44,64,26,76,76,70346.72,212.18
2022-03-19,102,1849278.61,18492.86,85,17,86,86,77986.34,181.3
2022-03-20,84,1709066.67,17090.69,57,27,73,72,76526.7,203.46
2022-03-21,91,2007246.02,20072.46,64,27,77,77,102026.41,220.58
2022-03-22,71,1419392.47,14193.93,50,21,58,66,87379.22,199.91
2022-03-23,93,1663488.6,16634.9,66,27,82,77,110756.61,178.87
2022-03-24,97,1834832.86,18348.28,65,32,82,75,104087.31,189.16
2022-03-25,97,2109426.6,21094.32,74,23,73,77,35860.5,217.47
2022-03-26,90,1550579.22,15505.8,56,34,72,72,103551.42,172.29
2022-03-27,83,1419938.75,14199.41,56,27,66,70,41251.91,171.08
2022-03-28,91,1242042.52,12420.42,67,24,77,77,81211.22,136.49
2022-03-29,122,2237173.19,22371.74,90,32,92,94,68243.65,183.37
2022-03-30,94,2599450.89,25994.53,72,22,75,78,77192.21,276.54
2022-03-31,112,2119277.83,21192.82,78,34,90,88,44434.71,189.22
2022-04-01,119,2455679.25,24556.78,88,31,89,100,58536.55,206.36
2022-04-02,84,2205888.84,22058.85,63,21,72,75,111567.98,262.61
2022-04-03,100,2289976.34,22899.79,82,18,85,87,115090.19,229.0
2022-04-04,108,2899944.66,28999.41,71,37,88,88,51182.91,268.51
2022-04-05,110,2389246.75,23892.5,80,30,89,90,78369.8,217.2
2022-04-06,101,2246562.08,22465.68,68,33,80,82,65663.45,222.43
2022-04-07,113,2563836.32,25638.34,74,39,88,89,44673.88,226.89
2022-04-08,108,2591011.0,25910.08,76,32,87,86,33323.1,239.91
2022-04-09,103,1946638.86,19466.4,74,29,83,91,11460.27,188.99
2022-04-10,92,1579266.05,15792.65,65,27,74,76,30766.15,171.66
2022-04-11,103,1960253.13,19602.52,81,22,82,87,34359.03,190.32
2022-04-12,101,2225203.26,22252.02,71,30,81,78,99625.17,220.32
2022-04-13,107,2141626.36,21416.29,78,29,87,89,20977.82,200.15
2022-04-14,118,2569743.15,25697.48,86,32,93,90,97240.71,217.78
2022-04-15,115,2277840.8,22778.44,80,35,94,87,69874.19,198.07
2022-04-16,112,2945912.64,29459.11,78,34,87,95,46481.45,263.03
2022-04-17,94,2313742.19,23137.38,67,27,80,73,11795.93,246.14
2022-04-18,82,2542358.16,25423.57,61,21,70,66,39274.08,310.04
2022-04-19,118,2898826.42,28988.27,83,35,93,94,108292.89,245.66
2022-04-20,88,1760492.76,17604.94,66,22,80,72,24508.77,200.06
2022-04-21,123,2773463.99,27734.65,86,37,97,100,72826.23,225.48
2022-04-22,99,2599975.79,25999.74,67,32,84,82,68727.78,262.62
